Item CD,Item name,Cost item type, Std. cost per unit ,Base qty.,Unit
M220201Z05,GLASS FIBER CORD (35-0180Z),Raw Material,429.34,1,Kilogram
M220207S02,GLASS CORD 35-0091S,Raw Material,422.3,1,Kilogram
M220207Z02,GLASS CORD 35-0091Z,Raw Material,422.3,1,Kilogram
M220245S00,GLASS CORD 35-0061S,Raw Material,749.41,1,Kilogram
M220245Z00,GLASS CORD 35-0061Z,Raw Material,749.41,1,Kilogram
M22040010X,CORD 762N,Raw Material,"2,406.81",1,Kilogram
M22040020X,CORD 724N,Raw Material,"1,683.13",1,Kilogram
M22040030X,RAW CORD 69-1671G,Raw Material,"1,410.00",1,Kilogram
M22040040X,CORD 765Z,Raw Material,"2,159.62",1,Kilogram
M22040050X,CORD 765S,Raw Material,"2,159.62",1,Kilogram
M22040060X,RAW CORD 6A-1670G,Raw Material,"1,564.00",1,Kilogram
M22040080X,Dipped Cord 6N-1000(2x3),Raw Material,"1,768.00",1,Kilogram
M220424Z03,RAW CORD 69-1671Z,Raw Material,"1,427.00",1,Kilogram
M31000020X,NR STR - CV60,Raw Material,82,1,Kilogram
M31000030X,STR20,Raw Material,65.5,1,Kilogram
