Alloc. A/C CD,Alloc. A/C name,Dept./Process CD,Dept./Process name,Alloc. rate,Alloc. basis
8109900,Research and development expenses,CPBRK1,Wiper KN1,4.28084909,Time alloc.
8109900,Research and development expenses,CPGD01,GD1,0.01563629,Time alloc.
8109900,Research and development expenses,CPRA02,RA2,0.00132872,Time alloc.
8109900,Research and development expenses,CPRA03,RA3,0.00972878,Time alloc.
8109900,Research and development expenses,CPRA04,RA4,0.02542569,Time alloc.
8109900,Research and development expenses,CPRE02,RE2,0.00060082,Time alloc.
8109900,Research and development expenses,CPRE03,RE3,0.00121433,Time alloc.
8109900,Research and development expenses,CPRE05,RE5,0.0011915,Time alloc.
8109900,Research and development expenses,CPWP07,WP7,0.02282182,Time alloc.
8109900,Research and development expenses,CPWP10,WP10,0.00112624,Time alloc.
8109900OT,Research and development expenses,CPAT01,AT-1,0.00066095,Time alloc.
8109900OT,Research and development expenses,CPAT02,AT-2,0.00065353,Time alloc.
8109900OT,Research and development expenses,CPAT03,AT-3,0.00027281,Time alloc.
8109900OT,Research and development expenses,CPBB01,BANBURY1,0.000053,Time alloc.
8109900OT,Research and development expenses,CPBB02,BANBURY2,0.00003717,Time alloc.
8109900OT,Research and development expenses,CPBI01,Wiper Inspection,0.0095696,Time alloc.
8109900OT,Research and development expenses,CPBI02,Wiper Side Cut,0.00960081,Time alloc.
8109900OT,Research and development expenses,CPBI03,Wiper Center Cut,0.00622174,Time alloc.
8109900OT,Research and development expenses,CPBIG1,Wiper Graphite1,0.00212017,Time alloc.
8109900OT,Research and development expenses,CPBR01,Wiper Press,0.00330093,Time alloc.
8109900OT,Research and development expenses,CPBR02,Wiper Chlorine,0.00433178,Time alloc.
8109900OT,Research and development expenses,CPCL01,CALENDER1,0.00000136,Time alloc.
8109900OT,Research and development expenses,CPGD01,GD1,0.00000591,Time alloc.
8109900OT,Research and development expenses,CPKN04,KNEADER4,0.00003085,Time alloc.
8109900OT,Research and development expenses,CPMT70,45 and 70 degrees,0.00001438,Time alloc.
8109900OT,Research and development expenses,CPMTDY,DYEING,0.0000021,Time alloc.
8109900OT,Research and development expenses,CPRA01,RA1,0.0000577,Time alloc.
8109900OT,Research and development expenses,CPRA02,RA2,0.00012414,Time alloc.
8109900OT,Research and development expenses,CPRA03,RA3,0.00013754,Time alloc.
8109900OT,Research and development expenses,CPRA04,RA4,0.00017831,Time alloc.
8109900OT,Research and development expenses,CPRE01,RE1,0.00005359,Time alloc.
