Alloc. A/C CD,Alloc. A/C name,Alloc. basis type,Alloc. basis type name,Coefficient CD,Coefficient name,Cost element CD,Cost element name,Indirectly alloc. A/C CD,Indirectly alloc. A/C name,Rounding type,Rounding type name,Rounding digit,Alloc. adjustment type,Alloc. adjustment type,Asset type,Asset type name,Non-minus,Coefficient limit,Std. alloc.,Notes,Entry time,Entry user CD,Entry user name,Update time,Update user CD,Update user name
8220101OT,[M]Bonus,0,Time alloc.,COEFF01,Coefficient 01,P0050,Other Indirect Labor,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8220101PL,[M]Bonus,0,Time alloc.,COEFF01,Coefficient 01,P0077,Planning labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8220101TE,[M]Bonus,0,Time alloc.,COEFF01,Coefficient 01,P0074,Technical labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8220101WS,[M]Bonus,0,Time alloc.,COEFF01,Coefficient 01,P0025,WS labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8230001,[M]Legal welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0020,Line labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8230001OT,[M]Legal welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0050,Other Indirect Labor,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8230001PL,[M]Legal welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0077,Planning labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8230001TE,[M]Legal welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0074,Technical labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8230001WS,[M]Legal welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0025,WS labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8240001,[M]Welfare expenses,0,Time alloc.,COEFF01,Coefficient 01,P0020,Line labor cost,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
