ParentItemCode,ParentGroupCode,ParentItemName,BOM_PatternNo,ParentUnitCode,ChildItemCode,ChildItemGroupCode,ChildItemName,ParentRequireQty,ChildRequireQty,ChildUnitCode
2100006633,WP,V-BELT RED S-II SB42.5 MIT,905,KG,MWCASL0007,MAT,617(50),80,2.5044,PC
2100032048,RA,RA SG1110C 6PK 710 MIT,902,KG,MWCASA0052,MAT,CC10/TE151(1140),49,0.42,PC
2100009565,WP,V-BELT RED PITCH FM39.5 KUBOTA,901,KG,MWDCCD0004,MAT,2x5TM,60,0.5171,PC
2100030918,RA,RA RS1780Z 3PK 1200 90916-A2022,902,KG,MWCASA0010,MAT,872(1200)1120,99,0.607,PC
MWMBKN0044,BR,TMH55-B,901,KG,M32010010X,RM,BR150,63.53,2.1098,KG
MWMBKN0044,BR,TMH55-B,901,KG,M32020010X,RM,SKYPRENE B-5A,63.53,23.2073,KG
MWMBKN0044,BR,TMH55-B,901,KG,M5102SAN00,RM,MAGNESIUM OXIDE KYOWAMAG 150,63.53,0.422,KG
MWMBKN0044,BR,TMH55-B,901,KG,M5102STO01,RM,STEARIC ACID CAMELLA (BEADS),63.53,0.633,KG
MWMBKN0044,BR,TMH55-B,901,KG,M5102ZN810,RM,Alphagran ZnOE-80,63.53,2.6415,KG
MWMBKN0044,BR,TMH55-B,901,KG,M51050030X,RM,OCTAMINE,63.53,0.7174,KG
